image_id,image_path,category,category_bn,question,question_bn,llm_answer,llm_answer_bn
468,f9937a751fd32ebcdab121eeb4fb0fb0e1a56670_3-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
44,c43137ef2908b0563f3ee01f546785de9c6ac207_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
382,556b29a6985a832d948a4a5a12a629a5c902f3d4_4-Figure3-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা কি উপস্থিত আছে?,Yes,হ্যাঁ
123,7cc69464c8f7ace3f2bc2038cb2c961dea82bed3_3-Figure3-1.png,abnormality,অস্বাভাবিকতা,Are there any abnormalities present in the image?,ছবিতে কোন অস্বাভাবিকতা আছে কি?,no,না
639,7fa353ae5bdd593b724fc7514ec783abd4db1ed1_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
404,daab7074a4679c9cb710eb271ca6652dd3f08b20_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,yes,হ্যাঁ
82,c93bc3b7a8339b3652a3398143af827723a93655_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোন অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ।
52,159c93f1f56432da1eaf20a19f245072ef4555e3_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,yes,হ্যাঁ।
623,a94d35e19c459e2ae0c6f02ea2863baa3040a7a3_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
493,fb7141fcecdd68173d757720bf5ed6970ee89100_3-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা দেখা যাচ্ছে?,Yes,হ্যাঁ
578,3c15aa0bfaa52eaa78494c433681cb0ee5efe492_2-Figure3-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা দেখা যাচ্ছে?,Yes,হ্যাঁ
1284,851418d66c84c19fdad72d68b8e934d00d40dd30_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
1172,aca71fd1d34121f3598562168f824935431aa9f2_4-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ইমেজটিতে কোন অসঙ্গতি আছে কি?,no,না
1164,d180b34f128bdf43caccc4b5e047ee8da587e835_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
986,168fa8da78b9515d8a1f891ea8165fc960456089_8-Figure11-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present?,কোনো অস্বাভাবিকতা কি বিদ্যমান?,Yes,হ্যাঁ
1049,59932586efbfc6a57ee6a6324c7ab33c8ab41c05_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
873,711cf7fdc6fb82e04a0c4cfae3456b9b381e4b97_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present?,কোন অস্বাভাবিকতা কি উপস্থিত?,Yes,হ্যাঁ
1486,6b6d43defd7a98368e58c3bf8122e3b1e1e808e9_4-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ।
635,3cd7686ff315193ca61a9bfbf85c9e0a34399d36_1-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অসঙ্গতি আছে কি?,Yes,হ্যাঁ
1168,eaa3b644f0258317373a7a911e4ca010ef1e4887_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা দেখা যাচ্ছে?,Yes,হ্যাঁ
397,b3f398916b8e967b95d3cb2c1e37bd24a5b97641_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
1435,800d6acaafaeabd0fc205ded564020c45d17d561_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present?,কোনো অস্বাভাবিকতা কি আছে?,Yes,হ্যাঁ।
1143,bc9a78aba39d25d907d26e55b95eb17dd66cb9a9_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,no,না।
904,e8970397e5a250a4ed2f20e092abc164586fffa5_11-Figure9-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ।
1015,07708da786ce2719d7ba9504a76ea010a089253a_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো প্রকার অস্বাভাবিকতা দেখা যাচ্ছে কি?,1,১।
1406,33929ad6c6872899dc396af3acd90f4dbbcdb491_4-Figure3-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা দেখা যাচ্ছে?,Yes,হ্যাঁ
260,5c0cd99bbf9c962fa2b229e5a7ee9bee8b00df4a_5-Figure3-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
54,105ebd3ca59a3f456fd582c91d60c8eb3549d789_3-Figure3-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality?,কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
448,dbf9aafdc9eec3f72c2208c9d65b9f94b8104d61_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনও অসঙ্গতি আছে কি?,Yes,হ্যাঁ।
642,793931e3ca1ed176938a5cafe92ee85a951a1a24_3-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা দেখা যাচ্ছে?,Yes,হ্যাঁ
589,28468481426ebdf317bf57486c873c3f91f44e78_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
33,4c40971454c277768227bedbb1c37897c331741f_6-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা দেখা যাচ্ছে?,Yes,হ্যাঁ
972,9dc0a275da3518f8a610237577c8c5809ed3631f_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,yes,হ্যাঁ
561,652d507032be31e86ab64f0f69d9a3fb84c9068b_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
301,eb6e0112e4526973d720fbfeb81badd7731e77d9_4-Figure3-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
1256,4edd35a15175c1d317a86877fecfb4dc0a68d6f2_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোন অস্বাভাবিকতা আছে কি?,yes,হ্যাঁ
605,a7b00f67603527d1c6baf6ae4cf12afaaba1b994_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Are there any abnormalities present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা দেখা যাচ্ছে?,no,না
338,fa1f608556ef883d124f77c56845b0112a715198_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
1228,19995169459d19638b2dfb86602a05553ab6549f_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,yes,হ্যাঁ
992,9c091224f1e4941523794407cc548c2e505d2347_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
706,ff2d29d4271ce5a02ff24435e15f2d6d071a924c_3-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
238,709a85df5368f9b75009e3001de26fd6092e2750_4-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
1230,d15c51f766fd2484bd8d8092f2f20cb0205818ff_4-Figure3-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
784,ef53a9a240fc2271180f80558f1af8b74d546291_3-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,no,না
988,7198e14d1ed0f4dcfcc25eccc39d3773eb484563_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোন অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
1453,e96c99241e71626cb80c425c26927911d5586631_9-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present?,কোনো অস্বাভাবিকতা কি বিদ্যমান?,no,না
107,a9af906911829bb5d649c3f392a0cd536e30e0b8_4-Figure4-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
889,419c6d05b7072d3e63b02c3134037a9c45490449_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,yes,হ্যাঁ।
381,b260cd69139dece47362ad440daff123ec651d5a_4-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা কি উপস্থিত আছে?,Yes,হ্যাঁ
371,2eedbfb72f7d012d029f4136aeb30f7dcffc91e1_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,no,না
877,304d16c8d9c4fe0cacf64495191f3645fe4cabaa_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Are there any abnormalities present in the image?,ছবিতে কোন অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
863,706bec1469e05376a71f15847872b9fb0d0bb9e4_9-Figure7-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,yes,হ্যাঁ
180,6207f45017c339536feff8db774032163f3b84ad_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Are there any abnormalities present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
575,a513663e12b72095f4058c5897eb2651c975193e_3-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
961,b045dfa66fa947066c8ee056f9dad9f946562ec4_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
66,e09b70f55a281e41d83614c9b381bfaac0ddafb5_4-Figure4-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,no,না
1148,4c00bf783d4ee42c1eb4a60c43201f49dbcdf846_1-Figure3-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,yes,হ্যাঁ
1355,e411dfd24285849280a765f74462709b7f783d13_3-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,yes,হ্যাঁ
862,0f93c6102e3738e2714b094293c46bf360fa325e_11-Figure3-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,no,না
293,064a6ccbcf1a8293f950102204015a50867ff54d_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Are there any abnormalities present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,yes,হ্যাঁ
45,23d85589a312fb34b8514248028fcfb83dc368e2_4-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present?,কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
335,62ad795419b3f9e1ffd657b226f22ca9440f3d7b_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,yes,হ্যাঁ
1328,c136cb811526260f51acc31d3313e83657d466d5_6-Figure3-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present?,কোনো অস্বাভাবিকতা কি বিদ্যমান?,no,না
1189,3d344c31346adf9e6d8580e18c3b9d83518cb2c4_1-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
1466,0868123158ec8e41bd89adad6a20305e7d64548f_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
1025,6afbe05a6444976ddc89b3fe10da4fa668fd8bdc_5-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,no,না
813,deff51a0c6f315af30473bc5bec29b3a01e63093_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,yes,হ্যাঁ
697,7a5418a1924342cc3c914981ccdbdcac932e35f9_7-Figure5-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
368,6b69539e2bdb2feeb3cf7a887ad81e6de814f2cb_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,yes,হ্যাঁ
1218,1f90432242767eea6ebdc24fa8a5ef5b33134d8a_3-Figure7-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality?,এখানে কোনো অসঙ্গতি আছে কি?,Yes,হ্যাঁ
470,bea937f8301368faa8298a782226b35421a70762_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality?,কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
940,28e9b513547c8b1858e70607598dfb339fb0948b_5-Figure3-1.png,abnormality,অস্বাভাবিকতা,Are there any abnormalities present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা দেখা যাচ্ছে?,Yes,হ্যাঁ
1160,f74231838150c91f2da92cf4298133eeb6c8e89b_1-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
603,688e96d49d0a57dd8fa6506d11f937b3d6581db2_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,yes,হ্যাঁ।
667,da0a0b4615c0dc388b914665a0fb906931228b1a_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
267,b527527087da7e9a6b9462bdf48acc52fdc40060_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present?,কোনো অস্বাভাবিকতা আছে কি?,no,না
1118,77ab89f0c44a6dd17ae1b471b0885b93c4ba4957_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
277,a77f740ca402153ccc14ad1344eac8d0a7f85a50_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
742,c3e6c23ebcc210677a8f89de98b73abd36c54ec8_1-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
512,60ce9956a29f87b00066d70cf5403975267100f9_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
549,009dd6869c3319bece1d51a0564672b3473b4723_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ।
211,15e1b8fe788270b910642e0597ac2751e66cafb0_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Are there any abnormalities present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ।
516,373e86e01e1d9af2a54b5b0c5a42700ff0d30db7_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ।
929,e3cb9fdaf60fbd5f9ef3907cabbd415c0291cb59_3-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা রয়েছে?,Yes,হ্যাঁ।
264,c75cd6a4b7f6b27ef120c70ea351a1e187cad7ed_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
225,eb0597662650e272c8602e579dde5e788d392722_14-Figure20-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present?,কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
951,8acdccee78c27e5759a54d58531f9d9494d481d4_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
1235,10b535a8c5cb81b9e7810e62bda201fac8323418_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ।
791,92a289376092b3dabfee4cc207c4320b87673cbc_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present?,কোনো অস্বাভাবিকতা আছে কি?,yes,হ্যাঁ
775,e25fe4889ad64e1d64dc59d0ef06d65cf27e057a_7-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present in the image?,ছবিতে কোনো অসঙ্গতি আছে কি?,yes,হ্যাঁ
950,9aa5786c3dd54fa6de03a6931ccbc1858ce46d00_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
1472,d2cc31fbfed389f68e2e99bdf0d18ce5005af13b_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present?,এখানে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
606,4aab1bf28bc3f312be7e8e3e9fc84c3842a939e7_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা দেখা যাচ্ছে?,Yes,হ্যাঁ
728,0a4b6430939b48177ab15b54be6d3a9dc6f733d1_6-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality visible in the image?,ছবিতে কি কোনো অস্বাভাবিকতা দেখা যাচ্ছে?,no,না।
259,b71c9aa66e48ebc8186316bff0cc991f9422df8f_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
798,cea46a578e08cd4da78ed9c78b4478df7feb55f5_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা দেখা যাচ্ছে?,Yes,হ্যাঁ
68,b99f192332cafe4f32073477ebb9411bb60c06e1_14-Figure16-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা দেখা যাচ্ছে?,Yes,হ্যাঁ
1182,61770021d6e660f86ecf35f442bb15c460c83142_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present?,কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
856,8c319a0eb4dc330030ab57aecabeeaed81dcce20_3-Figure9-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,yes,হ্যাঁ
415,b2e73c7759247a8a65036244fe560f0d27cd2eb2_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা দেখা যাচ্ছে?,Yes,হ্যাঁ
925,1ec96f50880ffb1514f8d49ef9a0e4d31c1cbca2_1-Figure2-1.png,abnormality,অস্বাভাবিকতা,Are there any abnormalities present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ।
479,4c02713eadd12d58b6b705ea7425cc0cd3656e01_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present?,কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
955,b0dab8c3217b4bb1046452ac19d3a202f1012be4_6-Figure3-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present in this image?,এই ছবিতে কি কোনো অস্বাভাবিকতা দেখা যাচ্ছে?,Yes,হ্যাঁ
560,fb1fbfe04f1010385d0e42284aadfc01486f6bda_5-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
641,22164bc7e7f748d2b18251cfb8996b30c2bd2d08_4-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা দেখা যাচ্ছে?,yes,হ্যাঁ
206,339de61db2cc2d02a81e7612e07d106e77270ab7_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ।
1372,c0c2b6cb6cd7af5548d22970b73de12312fb5227_3-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
61,08f5ac015ba3ecbb63d37269ebbb2dcfc729e463_3-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
